film,tomato,character,image_url
Iron Man,93%,Iron Man,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/ironMan.png
The Incredible Hulk,67%,Hulk,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/hulk.png
Iron Man 2,73%,Iron Man,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/ironMan.png
Thor,77%,Thor,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/thor.png
Captain America: The First Avenger,80%,Captain America,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/captainAmerica.png
Marvel's The Avengers,92%,Avengers,
Iron Man 3,79%,Iron Man,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/ironMan.png
Thor: The Dark World,67%,Thor,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/thor.png
Captain America: The Winter Soldier,90%,Captain America,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/captainAmerica.png
Guardians of the Galaxy,84%,Star Lord,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/starLord.png
Avengers: Age of Ultron,75%,Avengers,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/starLord.png
Ant-Man,83%,Ant-Man,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/starLord.png
Captain America: Civil War,91%,Captain America,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/captainAmerica.png
Doctor Strange,89%,Doctor Strange,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/starLord.png
Guardians of the Galaxy Vol. 2,84%,Star Lord,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/starLord.png
Spider-Man: Homecoming,92%,Spider-Man,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/spiderMan.png
Thor: Ragnarok,93%,Thor,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/thor.png
Black Panther,96%,Black Panther,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/spiderMan.png
Avengers: Infinity War,85%,Avengers,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/spiderMan.png
Ant-Man and the Wasp,88%,Ant-Man,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/spiderMan.png
Captain Marvel,78%,Captain Marvel,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/spiderMan.png
Avengers: Endgame,94%,Avengers,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/spiderMan.png
Spider-Man: Far From Home,90%,Spider-Man,https://kikijinqili.github.io/Marvel_DataViz/Ver1/Assets/spiderMan.png